[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:17] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:18] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:19] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
